Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2018/11/13,17763.107,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2019/12/10,17763.914,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2019/09/10,17763.737,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2019/11/12,17763.864,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2019/08/13,17763.678,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2019/03/12,17763.379,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2016,1607,Standard,2016/11/08,14393.447,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2016,1607,Standard,2016/10/12,14393.0,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2021/09/14,20348.230,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows Server 2022,21H2,Standard,2021/11/09,20348.350,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/08/13,17134.950,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/09/10,17134.1006,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/01/08,17763.253,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/03/12,17134.648,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,1970/01/01,17134.1,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2018/08/14,17134.228,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/01/08,17134.523,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2019/04/09,17134.706,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
2,3,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Stop,BackgroundTask LowOverheadDiag,Windows 10,1803,Pro,2018/09/11,17134.285,An instance of the background task with entry point {EntryPoint} running for user {UserSid} in session {UserContextId} returned with error code {Result}.,{EntryPoint} | {UserSid} | {UserContextId} | {Result}
