Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1803,Pro,2019/01/08,17763.253,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/02/12,17763.316,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2019/03/12,17763.379,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/03/12,17763.379,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/04/09,17763.437,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/05/19,17763.504,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/06/11,17763.557,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/07/09,17763.615,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2019/08/13,17763.678,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/08/13,17763.678,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2019/09/10,17763.737,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/09/10,17763.737,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/10/08,17763.805,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2019/11/12,17763.864,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/11/12,17763.864,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2019/12/10,17763.914,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2019/12/10,17763.914,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/01/14,17763.973,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/01/14,17763.973,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1903,Pro,2019/12/10,18362.1016,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1903,Pro,2020/09/08,18362.1082,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1903,Pro,2020/10/13,18362.1139,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
