Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
2147483650,0,,,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,2004,Pro,2021/05/11,19041.985,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,2004,Pro,2021/04/13,19041.928,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,2004,Pro,2021/03/09,19041.867,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,2004,Pro,2021/02/09,19041.804,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,2004,Pro,2021/01/12,19041.746,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
2147483650,0,,,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,An attempt to retrieve firewall filter with key {FilterKey} has failed with error {ErrorStatus}. RPC is not able to enforce this filter.,{FilterKey} | {ErrorStatus}
