Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
1000,0,Information,Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider/Operational,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,The Windows Scripted Diagnostic Provider API IDiagnosticProvider FindDiagnosticsBySearchMetadata method succeeded.  The input Culture/Locale was {UILanguage}.  The size of the result set was {ResultSize}.,{UILanguage} | {ResultSize}
