Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1803,Pro,2019/03/12,17134.648,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1803,Pro,2019/01/08,17134.523,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1803,Pro,2018/09/11,17134.285,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1803,Pro,2018/08/14,17134.228,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1803,Pro,2018/06/12,17134.112,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1803,Pro,2019/09/10,17134.1006,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1803,Pro,1970/01/01,17134.1,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1709,Pro,2017/11/14,16299.64,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1709,Pro,2017/11/14,16299.15,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1709,Pro,2017/12/12,16299.125,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1703,Pro,2017/07/11,15063.483,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1703,Pro,2017/06/13,15063.413,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
103,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,1703,Pro,2017/03/20,15063.0,DataMart Cell provider list created HRESULT [{HRESULT}] PFNs [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro,2022/06/21,22000.739,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro,2022/05/17,22000.675,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro,2022/04/19,22000.613,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro,2022/03/15,22000.556,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro,2022/02/15,22000.493,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro,2022/01/11,22000.434,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro,2021/12/14,22000.376,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro,2021/11/09,22000.318,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro,2021/09/16,22000.194,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H2,Pro,2022/06/21,19044.1766,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H2,Pro,2022/05/17,19044.1706,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H2,Pro,2022/04/19,19044.1645,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H2,Pro,2022/01/11,19044.1466,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H2,Pro,2021/10/12,19044.1288,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2021/04/13,19043.928,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2022/06/21,19043.1766,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2022/05/17,19043.1706,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2022/04/19,19043.1645,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2022/01/11,19043.1466,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H2,Pro,2021/12/14,19043.1415,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2021/12/14,19043.1415,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2021/11/09,19043.1348,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2021/10/12,19043.1288,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2021/09/14,19043.1237,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2021/08/10,19043.1165,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2021/07/13,19043.111,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2021/06/08,19043.1052,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2022/04/19,19042.1645,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2022/01/11,19042.1466,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/05/11,19041.985,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/05/11,19041.985,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/04/13,19041.928,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/04/13,19041.928,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/03/09,19041.867,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/03/09,19041.867,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/02/09,19041.804,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/02/09,19041.804,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/01/12,19041.746,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/01/12,19041.746,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2020/12/08,19041.685,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2020/12/08,19041.685,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2020/11/19,19041.631,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2020/11/10,19041.63,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2020/10/13,19041.572,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2020/09/08,19041.508,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2020/08/11,19041.45,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2020/07/14,19041.388,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2020/06/09,19041.329,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2020/05/27,19041.264,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2020/04/16,19041.208,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H2,Pro,2022/03/15,19041.1586,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2022/03/15,19041.1586,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2022/03/15,19041.1586,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H2,Pro,2022/02/15,19041.1526,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,21H1,Pro,2022/02/15,19041.1526,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2022/02/15,19041.1526,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/12/14,19041.1415,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/11/09,19041.1348,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/11/09,19041.1348,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/10/12,19041.1288,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/10/12,19041.1288,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/09/14,19041.1237,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/09/14,19041.1237,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/08/10,19041.1165,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/08/10,19041.1165,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/07/13,19041.111,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/07/13,19041.111,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,2004,Pro,2021/06/08,19041.1052,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,20H2,Pro,2021/06/08,19041.1052,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2020/07/14,18363.959,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2020/06/09,18363.9,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2020/05/12,18363.836,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2020/04/14,18363.778,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2020/03/12,18363.72,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2020/02/11,18363.657,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2020/01/14,18363.592,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2019/12/10,18363.535,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2019/10/05,18363.418,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2021/06/08,18363.1621,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2021/05/11,18363.1556,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
200,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,WIFI DATAMART,Windows 10,1909,Pro,2021/04/13,18363.15,DataMart Wi-Fi balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
