Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,22H2,Pro,2022/09/20,22621.382,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2022/09/20,22000.978,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2022/08/16,22000.856,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2022/07/19,22000.795,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2022/06/21,22000.739,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2022/05/17,22000.675,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2022/04/19,22000.613,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2022/03/15,22000.556,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2022/02/15,22000.493,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2022/01/11,22000.434,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2021/12/14,22000.376,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2021/11/09,22000.318,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro,2021/09/16,22000.194,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
1,0,Error,Microsoft-Windows-Store/Operational,StorefrontClient,,StorefrontClient,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,{Message}Error Code: {Error Code}Function: {Function}Source: {File Name} ({Line Number}),{Message} | {Function}
