Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/07/14,18363.959,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/06/09,18363.9,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/05/12,18363.836,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/04/14,18363.778,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/03/12,18363.72,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/02/11,18363.657,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/01/14,18363.592,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2019/12/10,18363.535,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2019/10/05,18363.418,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2021/04/13,18363.15,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2021/03/09,18363.144,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2020/07/14,18362.959,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2020/05/12,18362.836,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2020/03/12,18362.72,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2020/02/11,18362.657,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2019/12/10,18362.535,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2019/11/12,18362.476,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2019/09/10,18362.356,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2019/03/29,18362.3,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1903,Pro,2019/07/09,18362.239,{process}: {payload},{process} | {payload}
