Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2022/08/16,22000.856,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2022/07/19,22000.795,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2022/06/21,22000.739,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2022/05/17,22000.675,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2022/04/19,22000.613,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2022/03/15,22000.556,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2022/02/15,22000.493,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2022/01/11,22000.434,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2021/12/14,22000.376,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2021/11/09,22000.318,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro,2021/09/16,22000.194,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,,
0,0,Information,Microsoft-Windows-TaskbarCPL/Diagnostic,TaskbarCPL_Open,Start,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,,
