Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2020/12/08,19041.685,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2020/12/08,19041.685,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2020/11/19,19041.631,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2020/11/10,19041.63,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2020/10/13,19041.572,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2020/09/08,19041.508,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2020/08/11,19041.45,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2020/07/14,19041.388,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2020/06/09,19041.329,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2020/05/27,19041.264,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2020/04/16,19041.208,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/03/15,19041.1586,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/03/15,19041.1586,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2022/03/15,19041.1586,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H1,Pro,2022/02/15,19041.1526,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,21H2,Pro,2022/02/15,19041.1526,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2022/02/15,19041.1526,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2021/12/14,19041.1415,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2021/11/09,19041.1348,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2021/11/09,19041.1348,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2021/10/12,19041.1288,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2021/10/12,19041.1288,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2021/09/14,19041.1237,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2021/09/14,19041.1237,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2021/08/10,19041.1165,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2021/08/10,19041.1165,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2021/07/13,19041.111,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,20H2,Pro,2021/07/13,19041.111,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
1,0,Information,Microsoft-Windows-Runtime-Networking/Tracing,AsyncOperation,Async operation start,AsyncOperation,Windows 10,2004,Pro,2021/06/08,19041.1052,{asyncOperation} at {asyncObject} started.,{asyncOperation} | {asyncObject}
