Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2018/11/13,17763.107,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2016,1607,Standard,2016/11/08,14393.447,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2016,1607,Standard,2016/10/12,14393.0,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.230,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.350,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2019/08/13,17134.950,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2019/09/10,17134.1006,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2019/01/08,17763.253,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2019/03/12,17134.648,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,1970/01/01,17134.1,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2018/08/14,17134.228,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2019/01/08,17134.523,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2019/04/09,17134.706,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2018/09/11,17134.285,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2018/06/12,17134.112,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2019/06/11,17134.829,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2019/05/19,17134.766,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,1803,Pro,2019/07/09,17134.885,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
13021,0,Information,Microsoft-Windows-Wired-AutoConfig/Operational,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,A pre-logon connection was not attempted.Result: {Result}Reason: {Reason},{Result} | {Reason}
